#separator:tab
#html:true
#columns:Front	Back	Tags
I	/aɪ/　<b>pron.</b>　我<br>I am a developer. 我是开发者。	代词
you	/juː/　<b>pron.</b>　你；你们<br>You are right. 你说得对。	代词
he	/hiː/　<b>pron.</b>　他<br>He is my colleague. 他是我同事。	代词
she	/ʃiː/　<b>pron.</b>　她<br>She works here. 她在这儿工作。	代词
it	/ɪt/　<b>pron.</b>　它<br>It is a good idea. 这是个好主意。	代词
we	/wiː/　<b>pron.</b>　我们<br>We are a team. 我们是一个团队。	代词
they	/ðeɪ/　<b>pron.</b>　他们<br>They are late. 他们迟到了。	代词
me	/miː/　<b>pron.</b>　我（宾格）<br>Call me later. 待会儿打给我。	代词
him	/hɪm/　<b>pron.</b>　他（宾格）<br>I know him. 我认识他。	代词
her	/hɜː/　<b>pron.</b>　她（宾格）；她的<br>I saw her. 我看见她了。	代词
us	/ʌs/　<b>pron.</b>　我们（宾格）<br>Join us. 加入我们吧。	代词
them	/ðem/　<b>pron.</b>　他们（宾格）<br>Tell them. 告诉他们。	代词
my	/maɪ/　<b>pron.</b>　我的<br>This is my desk. 这是我的桌子。	代词
your	/jɔː/　<b>pron.</b>　你的<br>Is this your bag? 这是你的包吗？	代词
his	/hɪz/　<b>pron.</b>　他的<br>His name is Tom. 他叫 Tom。	代词
its	/ɪts/　<b>pron.</b>　它的<br>The app lost its data. 这个 App 丢了数据。	代词
our	/ˈaʊə/　<b>pron.</b>　我们的<br>Our team is small. 我们团队很小。	代词
their	/ðeə/　<b>pron.</b>　他们的<br>Their office is big. 他们的办公室很大。	代词
mine	/maɪn/　<b>pron.</b>　我的（东西）<br>This book is mine. 这本书是我的。	代词
yours	/jɔːz/　<b>pron.</b>　你的（东西）<br>Is this yours? 这是你的吗？	代词
this	/ðɪs/　<b>pron.</b>　这（个）<br>This is easy. 这很简单。	代词
that	/ðæt/　<b>pron.</b>　那（个）<br>That is hard. 那很难。	代词
these	/ðiːz/　<b>pron.</b>　这些<br>These are my files. 这些是我的文件。	代词
those	/ðəʊz/　<b>pron.</b>　那些<br>Those are old. 那些是旧的。	代词
who	/huː/　<b>pron.</b>　谁<br>Who is he? 他是谁？	代词
what	/wɒt/　<b>pron.</b>　什么<br>What is this? 这是什么？	代词
which	/wɪtʃ/　<b>pron.</b>　哪一个<br>Which one? 哪一个？	代词
someone	/ˈsʌmwʌn/　<b>pron.</b>　某人<br>Someone called you. 有人打给你。	代词
something	/ˈsʌmθɪŋ/　<b>pron.</b>　某事物<br>I need something. 我需要点东西。	代词
anyone	/ˈeniwʌn/　<b>pron.</b>　任何人<br>Is anyone here? 有人吗？	代词
anything	/ˈeniθɪŋ/　<b>pron.</b>　任何事物<br>Anything else? 还要别的吗？	代词
everyone	/ˈevriwʌn/　<b>pron.</b>　每个人<br>Everyone is here. 大家都到了。	代词
everything	/ˈevriθɪŋ/　<b>pron.</b>　每件事<br>Everything is fine. 一切都好。	代词
nothing	/ˈnʌθɪŋ/　<b>pron.</b>　什么都没有<br>Nothing is wrong. 没什么问题。	代词
nobody	/ˈnəʊbədi/　<b>pron.</b>　没有人<br>Nobody knows. 没人知道。	代词
a	/ə/　<b>art.</b>　一个<br>I have a question. 我有个问题。	冠词与限定词
an	/ən/　<b>art.</b>　一个（元音前）<br>It's an error. 这是个错误。	冠词与限定词
the	/ðə/　<b>art.</b>　这/那（特指）<br>Open the door. 打开门。	冠词与限定词
some	/sʌm/　<b>det.</b>　一些<br>I need some help. 我需要些帮助。	冠词与限定词
any	/ˈeni/　<b>det.</b>　任何；一些<br>Do you have any time? 你有空吗？	冠词与限定词
many	/ˈmeni/　<b>det.</b>　许多（可数）<br>Many people came. 很多人来了。	冠词与限定词
much	/mʌtʃ/　<b>det.</b>　许多（不可数）<br>Not much time. 时间不多。	冠词与限定词
more	/mɔː/　<b>det.</b>　更多<br>I need more time. 我需要更多时间。	冠词与限定词
most	/məʊst/　<b>det.</b>　大多数<br>Most users like it. 大多数用户喜欢它。	冠词与限定词
all	/ɔːl/　<b>det.</b>　所有<br>All done. 全部完成。	冠词与限定词
both	/bəʊθ/　<b>det.</b>　两者都<br>Both are good. 两个都好。	冠词与限定词
each	/iːtʃ/　<b>det.</b>　每一个<br>Each one is different. 每个都不同。	冠词与限定词
every	/ˈevri/　<b>det.</b>　每个<br>Every day. 每天。	冠词与限定词
few	/fjuː/　<b>det.</b>　很少（可数）<br>A few bugs. 几个 bug。	冠词与限定词
little	/ˈlɪtl/　<b>det.</b>　很少（不可数）<br>A little water. 一点水。	冠词与限定词
no	/nəʊ/　<b>det.</b>　没有<br>No problem. 没问题。	冠词与限定词
other	/ˈʌðə/　<b>det.</b>　其他的<br>The other file. 另一个文件。	冠词与限定词
another	/əˈnʌðə/　<b>det.</b>　另一个<br>Another cup, please. 再来一杯。	冠词与限定词
such	/sʌtʃ/　<b>det.</b>　这样的<br>Such a good day. 多好的一天。	冠词与限定词
enough	/ɪˈnʌf/　<b>det.</b>　足够的<br>Enough time. 时间够了。	冠词与限定词
several	/ˈsevrəl/　<b>det.</b>　几个<br>Several times. 好几次。	冠词与限定词
be	/biː/　<b>v.</b>　是（原形）<br>It will be fine. 会没事的。	be动词_助动词_情态动词
am	/æm/　<b>v.</b>　是（配 I）<br>I am ready. 我准备好了。	be动词_助动词_情态动词
is	/ɪz/　<b>v.</b>　是（第三人称单数）<br>She is busy. 她很忙。	be动词_助动词_情态动词
are	/ɑː/　<b>v.</b>　是（复数/you）<br>We are here. 我们到了。	be动词_助动词_情态动词
was	/wɒz/　<b>v.</b>　是（过去，单数）<br>I was tired. 我当时很累。	be动词_助动词_情态动词
were	/wɜː/　<b>v.</b>　是（过去，复数）<br>They were late. 他们迟到了。	be动词_助动词_情态动词
been	/biːn/　<b>v.</b>　be 的过去分词<br>I have been busy. 我一直很忙。	be动词_助动词_情态动词
do	/duː/　<b>v./aux.</b>　做；助动词<br>Do you know? 你知道吗？	be动词_助动词_情态动词
does	/dʌz/　<b>aux.</b>　助动词（三单）<br>Does it work? 它能用吗？	be动词_助动词_情态动词
did	/dɪd/　<b>aux.</b>　助动词（过去）<br>Did you finish? 你完成了吗？	be动词_助动词_情态动词
have	/hæv/　<b>v./aux.</b>　有；已经<br>I have a plan. 我有个计划。	be动词_助动词_情态动词
has	/hæz/　<b>v./aux.</b>　有（三单）<br>She has a car. 她有辆车。	be动词_助动词_情态动词
had	/hæd/　<b>v./aux.</b>　有（过去）<br>We had lunch. 我们吃了午饭。	be动词_助动词_情态动词
will	/wɪl/　<b>modal</b>　将要<br>I will call you. 我会打给你。	be动词_助动词_情态动词
would	/wʊd/　<b>modal</b>　将会（委婉）<br>Would you help? 你能帮忙吗？	be动词_助动词_情态动词
can	/kæn/　<b>modal</b>　能，可以<br>I can do it. 我能做到。	be动词_助动词_情态动词
could	/kʊd/　<b>modal</b>　能（委婉/过去）<br>Could you wait? 能等一下吗？	be动词_助动词_情态动词
shall	/ʃæl/　<b>modal</b>　将（提议）<br>Shall we start? 我们开始吧？	be动词_助动词_情态动词
should	/ʃʊd/　<b>modal</b>　应该<br>You should rest. 你该休息了。	be动词_助动词_情态动词
may	/meɪ/　<b>modal</b>　可以；可能<br>May I ask? 我能问一下吗？	be动词_助动词_情态动词
might	/maɪt/　<b>modal</b>　可能<br>It might rain. 可能会下雨。	be动词_助动词_情态动词
must	/mʌst/　<b>modal</b>　必须<br>You must try. 你必须试试。	be动词_助动词_情态动词
need	/niːd/　<b>v./modal</b>　需要<br>I need to go. 我得走了。	be动词_助动词_情态动词
in	/ɪn/　<b>prep.</b>　在…里；在（月/年）<br>In the office. 在办公室。	介词
on	/ɒn/　<b>prep.</b>　在…上；在（某天）<br>On the table. 在桌上。	介词
at	/æt/　<b>prep.</b>　在（点/地点）<br>At 3 p.m. 下午三点。	介词
to	/tuː/　<b>prep.</b>　到，向<br>Go to work. 去上班。	介词
from	/frɒm/　<b>prep.</b>　从，来自<br>I'm from China. 我来自中国。	介词
of	/ɒv/　<b>prep.</b>　…的<br>A cup of tea. 一杯茶。	介词
